duration,protocol_type,service,src_bytes,dst_bytes,flag,count,srv_count,label
922,icmp,http,7672,13304,SF,73,80,normal
744,icmp,dns,20439,46235,SF,29,24,normal
366,tcp,http,42005,22223,SF,84,40,normal
967,icmp,http,10881,41129,S0,37,91,probe
410,tcp,dns,47457,11919,REJ,83,95,normal
325,udp,dns,29415,1848,REJ,40,92,probe
905,udp,dns,30078,2752,S0,11,31,normal
370,tcp,smtp,15852,18635,REJ,76,84,r2l
76,tcp,smtp,46022,47657,S0,3,93,normal
469,icmp,http,1802,2434,S0,77,97,normal
795,udp,smtp,14933,18448,SF,4,2,r2l
189,udp,dns,20920,5464,REJ,20,74,normal
462,udp,dns,23863,46578,S0,60,99,normal
129,udp,http,23706,33765,S0,94,76,normal
686,icmp,dns,7396,38134,SF,40,23,normal
475,tcp,dns,11279,35662,SF,12,76,normal
330,icmp,dns,4762,32851,REJ,23,10,normal
226,icmp,http,28622,38686,S0,89,48,normal
564,udp,dns,17543,406,SF,72,62,probe
669,tcp,smtp,28288,43272,REJ,10,45,normal
940,tcp,dns,29485,36993,SF,38,69,normal
437,icmp,http,35100,36971,SF,26,24,normal
160,icmp,smtp,27351,19671,REJ,17,60,normal
832,tcp,smtp,32397,40043,REJ,84,64,dos
629,tcp,http,29357,19090,REJ,61,63,probe
700,tcp,smtp,32621,2448,SF,17,28,probe
97,tcp,ftp,30832,45390,S0,65,30,normal
312,icmp,dns,15810,11726,SF,41,25,normal
767,icmp,ftp,12314,5095,S0,6,46,normal
832,tcp,smtp,39371,31094,SF,44,58,normal
435,icmp,smtp,17135,11682,S0,18,36,normal
804,tcp,smtp,27457,42906,REJ,24,40,dos
841,udp,smtp,9848,22187,REJ,87,28,normal
387,udp,smtp,21570,225,SF,71,21,normal
898,icmp,http,26483,47585,S0,13,65,normal
288,icmp,ftp,31300,25731,SF,85,81,normal
239,tcp,dns,26318,13148,REJ,57,29,normal
682,tcp,dns,18032,33864,S0,87,86,normal
636,tcp,http,48088,26530,S0,74,57,dos
139,tcp,http,25636,1480,S0,33,16,normal
832,icmp,dns,40415,37982,SF,53,36,normal
199,icmp,dns,36835,20067,S0,53,0,normal
804,tcp,http,27915,34990,S0,71,3,dos
7,icmp,http,44320,44781,SF,24,33,normal
796,udp,http,6413,30530,SF,33,45,probe
786,udp,dns,46052,33580,S0,24,79,probe
780,udp,http,42511,12732,SF,29,13,normal
664,tcp,dns,25181,11882,REJ,16,83,dos
471,icmp,ftp,36669,20750,SF,3,23,normal
705,tcp,ftp,26013,42639,SF,94,13,probe
277,tcp,dns,13438,26209,S0,7,69,normal
780,tcp,dns,39993,17401,SF,88,77,probe
555,tcp,dns,12296,38980,S0,0,60,normal
458,tcp,smtp,15722,42667,S0,77,11,normal
505,tcp,smtp,25964,45126,SF,32,11,normal
568,icmp,smtp,41869,14947,SF,51,39,dos
37,icmp,dns,19196,35482,S0,28,45,normal
139,tcp,ftp,24707,29516,REJ,49,99,normal
245,tcp,http,2083,22448,SF,45,28,dos
114,udp,dns,5792,19847,S0,52,19,probe
439,icmp,http,2797,5727,SF,39,94,normal
668,icmp,smtp,3602,13741,SF,53,15,normal
654,icmp,smtp,43426,27483,S0,82,2,normal
471,udp,http,42099,44327,SF,43,42,dos
855,udp,smtp,41094,43317,REJ,36,40,normal
565,tcp,http,2778,9379,S0,13,61,probe
79,icmp,dns,3882,33966,REJ,35,87,normal
764,icmp,http,14030,4240,REJ,12,93,normal
574,tcp,ftp,28264,33750,REJ,18,28,normal
634,icmp,dns,16706,17096,SF,95,98,normal
565,tcp,dns,24378,22492,REJ,8,63,dos
553,icmp,ftp,8649,35881,S0,48,6,normal
90,icmp,smtp,36538,21244,SF,83,93,normal
559,tcp,smtp,15694,40371,S0,95,13,r2l
794,udp,http,3327,26679,REJ,14,58,r2l
303,tcp,dns,37134,49937,REJ,16,79,probe
602,udp,dns,45139,31912,SF,37,24,normal
30,icmp,ftp,734,14818,REJ,55,27,normal
347,tcp,dns,21833,38764,SF,95,47,probe
436,udp,smtp,41358,20397,SF,20,88,normal
982,icmp,smtp,35308,26708,S0,16,22,normal
214,tcp,smtp,42827,6841,SF,25,66,probe
276,tcp,dns,20760,5967,REJ,87,45,normal
408,udp,ftp,18613,28743,REJ,3,11,normal
992,udp,smtp,35458,9334,SF,38,71,r2l
853,udp,ftp,7680,49879,SF,11,83,dos
34,tcp,dns,11971,42783,REJ,15,57,normal
233,icmp,ftp,30042,35044,REJ,91,17,normal
821,udp,ftp,33422,36734,S0,0,15,normal
58,tcp,http,5983,29760,S0,32,42,normal
855,icmp,smtp,25415,3014,SF,91,50,dos
281,icmp,http,18245,19618,SF,60,55,probe
917,udp,http,25087,24790,SF,7,24,normal
293,tcp,smtp,47921,45764,REJ,46,50,normal
434,udp,dns,3830,10974,SF,97,29,probe
661,udp,ftp,49773,24845,SF,40,68,normal
126,tcp,dns,22478,17203,S0,52,79,normal
557,udp,ftp,38605,6718,S0,53,65,normal
505,icmp,http,21223,5150,S0,66,0,dos
783,tcp,dns,15548,18268,SF,18,99,normal
996,icmp,http,38529,4121,REJ,83,2,dos
664,tcp,dns,34383,3358,REJ,98,99,normal
409,icmp,smtp,7202,17543,SF,14,3,dos
406,udp,smtp,35270,10098,REJ,81,51,normal
417,tcp,ftp,37653,27740,REJ,81,10,normal
814,icmp,smtp,19392,883,REJ,74,9,normal
321,tcp,dns,46282,15090,S0,37,68,normal
166,udp,ftp,32044,22663,S0,46,72,normal
334,tcp,http,16681,48157,REJ,83,11,normal
22,icmp,ftp,536,31727,S0,15,97,normal
106,icmp,dns,33748,44035,S0,82,32,normal
90,icmp,smtp,10452,17164,REJ,92,31,probe
771,udp,http,37826,22485,SF,68,29,normal
722,udp,dns,26254,21019,S0,34,46,probe
696,udp,smtp,23336,44369,S0,55,17,r2l
461,icmp,smtp,8187,47960,S0,5,42,normal
717,icmp,ftp,35575,48116,SF,93,20,dos
161,tcp,http,8295,37598,REJ,34,5,probe
900,udp,ftp,20887,25155,S0,5,36,dos
501,tcp,smtp,41815,27042,REJ,79,67,normal
938,tcp,smtp,46018,49025,S0,65,76,normal
152,icmp,dns,49456,14227,SF,62,35,normal
497,tcp,http,47900,17335,SF,5,32,normal
696,icmp,http,27798,44849,S0,75,78,r2l
495,udp,ftp,10024,19316,REJ,63,68,r2l
446,tcp,dns,41953,11754,REJ,79,83,normal
166,udp,http,40081,28023,REJ,82,90,dos
381,udp,dns,49516,16267,REJ,21,82,normal
238,icmp,dns,32547,44543,S0,21,93,probe
301,udp,http,7079,45453,SF,92,41,normal
683,icmp,http,25145,15300,S0,53,39,probe
630,icmp,ftp,22412,26477,S0,43,32,probe
607,icmp,dns,42147,49199,REJ,28,23,normal
361,udp,smtp,19628,37115,REJ,63,74,normal
959,tcp,ftp,16429,10781,SF,75,71,probe
87,udp,ftp,4002,29537,S0,0,80,normal
342,tcp,smtp,41772,30994,REJ,55,16,normal
118,udp,ftp,37766,32671,SF,99,49,probe
338,icmp,ftp,2061,1250,REJ,28,22,normal
961,udp,ftp,21688,14969,S0,28,89,normal
366,tcp,http,23985,42730,SF,87,26,normal
908,udp,ftp,23466,12068,SF,6,14,normal
495,icmp,dns,45946,14984,S0,39,56,r2l
699,icmp,smtp,7533,16124,SF,45,87,normal
457,tcp,dns,15317,8869,S0,79,91,normal
265,udp,smtp,9046,7772,S0,12,9,normal
764,udp,dns,12204,17350,S0,43,32,r2l
969,tcp,http,45355,43715,S0,15,15,normal
263,tcp,ftp,47036,76,SF,78,30,probe
778,tcp,smtp,2232,14162,SF,63,53,dos
261,icmp,http,31604,3031,REJ,49,28,probe
716,icmp,smtp,11642,28074,REJ,39,6,r2l
789,icmp,dns,9628,12530,S0,15,51,probe
449,icmp,ftp,14602,39598,S0,92,5,probe
736,icmp,smtp,9719,29250,REJ,64,22,normal
272,tcp,smtp,24509,39191,S0,31,0,dos
79,icmp,http,49780,31745,REJ,41,8,normal
96,tcp,http,29322,21919,REJ,72,43,normal
447,udp,dns,36162,43048,REJ,71,85,probe
902,udp,smtp,24664,23812,REJ,46,77,r2l
127,udp,http,695,47496,SF,30,9,dos
455,tcp,dns,4205,49735,S0,65,3,normal
704,tcp,http,13443,29451,REJ,65,33,normal
202,icmp,dns,12183,33729,S0,59,65,normal
721,tcp,dns,42028,12783,REJ,7,74,normal
305,tcp,http,42179,40731,S0,47,82,normal
808,icmp,dns,42706,33579,S0,61,34,normal
579,tcp,smtp,31879,45127,REJ,95,16,normal
546,icmp,smtp,27808,13350,REJ,52,2,dos
176,icmp,http,32457,39379,SF,34,14,normal
463,udp,http,20340,23513,S0,55,6,probe
856,tcp,http,33510,9258,S0,17,86,dos
19,tcp,ftp,39722,8559,S0,9,26,normal
758,tcp,http,38145,28108,S0,67,82,normal
492,udp,smtp,30691,15972,S0,98,55,normal
719,tcp,smtp,2905,5094,S0,84,53,r2l
663,udp,smtp,36247,21357,REJ,58,45,normal
432,tcp,http,18330,32646,SF,4,81,normal
308,udp,http,37183,15947,SF,98,4,probe
627,tcp,smtp,26976,47767,SF,44,9,r2l
140,icmp,ftp,44059,38977,REJ,28,42,normal
584,tcp,dns,16922,25636,S0,89,39,normal
94,tcp,smtp,46569,46732,REJ,74,54,normal
649,tcp,http,42223,21648,SF,74,73,normal
628,icmp,http,16555,6983,SF,27,58,normal
84,tcp,http,24128,1792,S0,99,25,normal
757,udp,http,26567,46901,S0,45,32,probe
415,udp,http,38431,47988,REJ,53,75,normal
786,udp,smtp,34457,36962,S0,75,20,dos
41,icmp,dns,42600,5150,S0,65,50,normal
179,icmp,smtp,18493,14682,S0,17,53,probe
493,udp,smtp,25239,2053,S0,30,75,dos
188,icmp,smtp,21543,2562,REJ,36,71,probe
329,tcp,http,45477,12303,REJ,94,46,probe
660,icmp,ftp,15249,28607,REJ,71,30,normal
144,udp,smtp,29356,3276,SF,36,36,normal
677,icmp,http,6008,49230,REJ,73,41,normal
103,icmp,http,42513,22755,REJ,73,21,normal
175,icmp,dns,19210,13192,REJ,39,62,probe
587,icmp,smtp,17029,25804,REJ,40,20,normal
793,udp,smtp,29145,39507,REJ,89,64,dos
170,tcp,smtp,24940,15628,REJ,56,75,normal
299,udp,http,42398,2375,SF,14,96,normal
925,tcp,smtp,26570,2548,REJ,71,11,normal
989,icmp,smtp,25849,42599,REJ,58,75,dos
581,tcp,dns,5248,5580,S0,50,8,dos
447,tcp,smtp,1096,31778,REJ,72,33,normal
346,tcp,smtp,19927,19225,REJ,90,17,normal
612,udp,ftp,49910,38875,SF,33,16,dos
590,udp,http,45866,3026,SF,41,17,normal
294,icmp,ftp,31448,44889,REJ,18,4,probe
22,udp,http,31541,34909,REJ,64,82,normal
151,tcp,http,19575,22463,REJ,40,6,normal
958,tcp,http,8875,10351,REJ,34,39,normal
418,tcp,dns,427,48857,S0,69,69,normal
482,udp,dns,16942,15103,SF,40,99,normal
467,icmp,dns,15823,24525,SF,46,85,normal
782,udp,dns,9580,19706,SF,44,13,r2l
64,icmp,dns,12958,11527,SF,25,98,normal
82,tcp,dns,1241,20830,S0,12,65,normal
275,tcp,http,30398,7574,SF,82,17,normal
486,icmp,smtp,46373,83,REJ,9,44,normal
671,tcp,ftp,34539,14499,SF,32,91,normal
490,tcp,http,22410,5603,S0,66,39,normal
441,udp,smtp,21013,20738,S0,13,18,dos
937,icmp,dns,15376,43138,SF,65,87,normal
161,icmp,http,7120,8128,SF,73,95,r2l
571,tcp,http,29923,61,SF,66,97,normal
542,icmp,http,28326,5554,REJ,30,95,probe
473,icmp,ftp,365,25408,S0,1,87,normal
807,icmp,http,20776,13741,REJ,88,45,normal
266,icmp,dns,13901,24475,S0,32,19,probe
953,tcp,dns,8514,1462,REJ,80,61,dos
331,icmp,smtp,35151,16654,SF,19,22,dos
545,tcp,dns,26291,20506,REJ,16,47,normal
520,icmp,dns,31688,21566,SF,77,65,dos
849,udp,dns,35674,27557,S0,93,94,probe
438,icmp,http,49090,39029,SF,86,28,dos
284,udp,http,40138,23361,REJ,75,25,normal
21,udp,dns,31017,42060,REJ,24,73,dos
